"id","Bosminid","Calanoid","Cyclopoid","Daphnid","Limno","Mollusc","nauplii","otherClad","predClad","Rotifers","totBiomass","zooH","zooRichness","predRatio","ACAVERN","ACRHARP","ALOSP","ASCECAU","ASCOVAL","ASCSALT","ASPBRIG","ASPHERR","ASPPRIO","BOSSP","BRAANGU","BRABIDE","BRABUDA","BRACALC","BRACAUD","BRAHAVA","BRAQUAD","BRAURCE","BYTLONG","CAMSP","CECPENG","CEPSP","CERSP","CHYSPHA","COLSP","CONSP","COOUNIC","COPNAUP","COUSP","DAPDUBI","DAPGALEM","DAPLONG","DAPLUMH","DAPPARV","DAPPULI","DAPRETR","DAPSCHO","DICSP","DIPSP","DIYNANU","DIYTHOM","DREPOLYP","DREPOLYV","ENCSP","EPILACU","EUBCORE","EUCSP","EUELAME","EURAFFI","EUYAGIL","EUYPRIO","FILLONG","FILTERM","GASSP","GRASP","HEXMIRA","HOLGIBB","ILYSP","KELLONG","KERCOCH","KERCOCHH","KERCOCHT","KERCRAS","KEREARL","KERHIEM","KERQUAD","KERTEST","KERVALGT","LATSETI","LECSP","LEOASHL","LEOMINU","LEOSICI","LEOSICO","LEPSP","LETKIND","LEYSP","LIMMACR","MACSP","MARALBI","MESEDAX","MICRUBE","MOIMICR","MONSP","NOOSP","NOTACUM","NOTCAUD","NOTFOLI","NOTLABI","NOTLAUR","NOTMICH","NOTSQUA","PARCHIT","PLEDENT","PLOHUDS","PLOLENT","PLOTRUN","POLDOLI","POLEURY","POLMAJO","POLREMA","POLVULG","POMSULC","POYPEDI","PROSP","ROTBDEL","SCAPSP","SENCALA","SIDCRYS","SKIOREG","SKIPALL","SKIREIG","SYNSP","TESPARV","THECRAS","TRCPOCI","TRCTETR","TRISP","TROPRASM","TYLMONO"
"2001.Spring.ER09",1.60682369968137,6.51679992979399,963.098124717499,0,0,20.9127434062289,0,0,0,5.79749909737318,997.931990850577,0.196808093088615,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962.441268113996,0,20.9127434062289,0,0,1.60682369968137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51679992979399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6146086307325,0,0,1.18289046664068,0,0,0.656856603503415,0
"2001.Spring.ER10",0,5.7035141571093,450.120699350403,0,0,0,0,0,0,3.37370546952712,459.197918977039,0.110176456244736,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.120699350403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7035141571093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37370546952712,0,0,0,0,0,0,0
"2001.Spring.ER15",2.02491171634847,60.8936085753317,665.204760432839,0,0,0,9.20351950293294,0,0,9.24135054340766,746.56815077086,0.488423374101319,11,0,0,0,0,0,0,0,0,0,0,0.200317831695566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20351950293294,0,0,0,0,0,0,0,0,0,0,0,0,664.642347441085,0,0,0,0,1.8245938846529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3201461920063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167467517178281,0,0,0,0,0,0,0,0,0,0,1.60150911311694,0,0,0,0,0,0,0,0,47.5734623833254,0,0,7.47237391311244,0,0,0,0,0,0.562412991753766,0
"2001.Spring.ER30",213.179044435556,1962.09475155744,5152.9976803027,74.5861486871381,0,0,245.663273563471,0,0,1615.48145951981,9264.00235806611,1.30522324114079,15,0,0,0,0,0,0,0,0,0,0,23.6703626597414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.663273563471,0,0,74.5861486871381,0,0,0,0,0,0,0,0,0,5132.03447903477,0,0,0,0,189.508681775815,0,0,0,0,0,0,0,3.27677532354241,0,0,0,0,0,0,0,0,0,0,0,16.7967508585221,0,0,0,0,0,150.22658504729,0,17.3340682648008,0,0,0,0,0,0,4.69300838852835,0,0,0,0,0,0,0,0,38.0661266220331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.53409824535,0,0,1557.34180671571,0,0,0,0,0,16.270192879401,0
"2001.Spring.ER31",131.211308555462,1847.68228657856,18629.6025554504,57.716547937996,0,0,415.454212673799,0,0,2938.56996657597,24020.2368777722,0.820688544983174,16,0,0,0,0,0,0,0,0,0,0,10.6319139217474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5575479416762,0,0,415.454212673799,0,0,57.716547937996,0,0,0,0,0,0,0,0,0,18617.9078440253,0,0,0,0,120.579394633715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383343190790889,0,0,0,0,0,0,0,0,0,0,0,308.948330373416,0,31.5723702353892,0,0,0,0,0,0,2.54681738693174,0,0,0,0,0,0,0,0,22.0716510775985,0,1.11642052217362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1507.16158596975,0,0,2903.44100384373,0,0,0,0,0,9.14789403813963,0
"2001.Spring.ER32",8.42817230256401,929.689754061922,3541.66396513736,12.8293290444393,0,0,375.145262277472,0,0,1671.59073655566,6539.34721937942,1.24391396279876,12,0,0,0,0,0,0,0,0,0,0,8.42817230256401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.145262277472,0,0,12.8293290444393,0,0,0,0,0,0,0,0,0,3535.29463655672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05288161046939,0,0,0,0,6.76127664943428,143.063379577879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5679927409244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779.865097834609,0,0,1639.96986220427,0,0,0,0,0,6.36932858064071,0
"2001.Spring.ER36",336.697539234946,14506.347229702,43161.896090396,829.023758819781,54.002634660832,0,4473.47667384111,0,0,14362.9706417193,77724.414568374,1.37291573237692,20,0.000695279364642998,0,0,0,0,0,0,0,0,0,74.40580821119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36620616778984,4473.47667384111,0,0,829.023758819781,0,0,0,0,0,0,0,0,0,43144.1085426642,0,0,0,0,262.291731023756,0,0,0,0,0,0,0,0,0,0,0,0,11.5909569240533,3.33392411384804,0,0,0,0,0,105.876453233008,0,0,0,0,359.343112723582,3444.95922724367,108.41812791837,0,0,0,0,54.002634660832,0,0,0,0,0,0,0,0,0,0,0,351.920214403932,0,3.23649181680635,0,0,0,0,0,0,0,0,0,187.844058050006,0,0,0,0,0,0,0,10593.6267618164,0,0,13692.8023370099,0,0,0,0,0,17.7875477317592,0
"2001.Spring.ER37",148.121309095579,5216.5346917946,8458.71367629236,122.863754189917,0,0,469.017794353155,0,0,2456.32011909522,16871.5713448208,1.24763411886231,15,0,0,0,0,0,0,0,0,0,0,14.7033872118458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.017794353155,0,0,122.863754189917,0,0,0,0,0,0,0,0,0,8433.51809487732,0,0,0,0,133.417921883733,0,0,0,0,0,0,0,0,0,0,0,0,1.05321134343924,0.302936739207766,0,0,0,0,0,19.2409103542979,0,0,0,0,13.9858122187299,152.760518820531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9658018174456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049.78836075534,0,0,2387.75725884083,0,0,0,0,0,25.1955814150444,0
"2001.Spring.ER38",359.632971214,5238.54304680247,8762.22223323866,184.877904151961,0,0,499.079234261095,0,0,2244.49782843297,17288.8532181012,1.27558037054849,13,0,0,0,0,0,0,0,0,0,0,21.4985404341041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499.079234261095,0,0,184.877904151961,0,0,0,0,0,0,0,0,0,8740.3396803159,0,0,0,0,338.134430779896,0,0,0,0,0,0,0,0,0,0,0,0,4.48286540192946,0.322353304402614,0,0,0,0,0,0,0,0,0,0,0,103.153028425971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.28035282352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5135.3900183765,0,0,2114.41225690312,0,0,0,0,0,21.8825529227564,0
"2001.Spring.ER42",98.7293189100549,5154.8912117595,8442.54236532982,97.5027510327105,0,0,540.749927607167,0,0,1465.58348510855,15799.9990597478,1.20936650022397,16,0,0,0,0,0,0,0,0,0,0,4.1766240798265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.749927607167,0,0,97.5027510327105,0,0,0,0,0,0,0,0,0,8399.24114364338,0,0,0,0,94.5526948302284,0,0,0,0,0,0,0,0,0,0,0,0,0.674605958542783,0.194037911387981,0,0,0,0,0,0,0,0,0,0,26.8178707859045,164.969894264484,0,23.5156154638103,0,0,0,0,0,0,13.4486877662078,0,0,0,0,0,0,0,0,100.548632686838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939.5878312453,0,0,1364.16620855178,0,0,0,0,0,29.8525339202348,0
