,Visit_ID,Lake,Station,Year,Season,group,Sun_category,predators,NUM_M3,BIOMASS_ug_m3
1,E009G01,Erie,ER09,2001,Summer,Bosminid,Night,non_pred,20075.15957,22504.57957
2,E009G01,Erie,ER09,2001,Summer,Calanoid,Night,non_pred,9503.259948,29249.30914
3,E009G01,Erie,ER09,2001,Summer,Cyclopoid,Night,non_pred,16220.42361,26796.03218
4,E009G01,Erie,ER09,2001,Summer,Daphnid,Night,non_pred,725.1483494,25538.95294
5,E009G01,Erie,ER09,2001,Summer,Mollusc,Night,non_pred,13911.3986,5060.770586
6,E009G01,Erie,ER09,2001,Summer,nauplii,Night,non_pred,25504.23076,4609.65711
7,E009G01,Erie,ER09,2001,Summer,Pred. clad.,Night,pred,223.0308246,18593.96708
8,E009G01,Erie,ER09,2001,Summer,Rotifers,Night,non_pred,464486.1421,18935.89119
9,E009G02,Erie,ER09,2002,Summer,Bosminid,Night,non_pred,18837.2633,27690.55936
10,E009G02,Erie,ER09,2002,Summer,Calanoid,Night,non_pred,4848.139194,24957.96825
11,E009G02,Erie,ER09,2002,Summer,Cyclopoid,Night,non_pred,5382.075229,12027.12404
12,E009G02,Erie,ER09,2002,Summer,Daphnid,Night,non_pred,5552.93476,28209.89785
13,E009G02,Erie,ER09,2002,Summer,Mollusc,Night,non_pred,1354.862688,492.8799352
14,E009G02,Erie,ER09,2002,Summer,nauplii,Night,non_pred,8225.952033,1200.121264
15,E009G02,Erie,ER09,2002,Summer,Other clad.,Night,non_pred,14138.6262,21631.51968
16,E009G02,Erie,ER09,2002,Summer,Pred. clad.,Night,pred,436.1589983,5031.609722
17,E009G02,Erie,ER09,2002,Summer,Rotifers,Night,non_pred,96195.25083,2069.561142
18,E009G03,Erie,ER09,2003,Summer,Bosminid,Day,non_pred,4.396920561,3.310018762
19,E009G03,Erie,ER09,2003,Summer,Calanoid,Day,non_pred,3730.787096,6702.500867
20,E009G03,Erie,ER09,2003,Summer,Cyclopoid,Day,non_pred,118.7168552,131.602939
21,E009G03,Erie,ER09,2003,Summer,Daphnid,Day,non_pred,993.7040468,31181.07875
22,E009G03,Erie,ER09,2003,Summer,Mollusc,Day,non_pred,26117.70813,9501.253822
23,E009G03,Erie,ER09,2003,Summer,nauplii,Day,non_pred,17121.60867,2841.541624
24,E009G03,Erie,ER09,2003,Summer,Pred. clad.,Day,pred,24.73267816,3724.672232
25,E009G03,Erie,ER09,2003,Summer,Rotifers,Day,non_pred,87639.42062,5953.353449
26,E009G04,Erie,ER09,2004,Summer,Bosminid,Dawn/Dusk,non_pred,4304.656826,3931.558202
27,E009G04,Erie,ER09,2004,Summer,Calanoid,Dawn/Dusk,non_pred,2965.430258,21684.82358
28,E009G04,Erie,ER09,2004,Summer,Cyclopoid,Dawn/Dusk,non_pred,229.5816974,911.8891292
29,E009G04,Erie,ER09,2004,Summer,Daphnid,Dawn/Dusk,non_pred,1674.03321,7232.714855
30,E009G04,Erie,ER09,2004,Summer,Mollusc,Dawn/Dusk,non_pred,39406.74177,14335.61681
31,E009G04,Erie,ER09,2004,Summer,nauplii,Dawn/Dusk,non_pred,7365.746125,982.5055514
32,E009G04,Erie,ER09,2004,Summer,Other clad.,Dawn/Dusk,non_pred,296.5430258,1139.589785
33,E009G04,Erie,ER09,2004,Summer,Pred. clad.,Dawn/Dusk,pred,146.4779059,1373.323513
34,E009G04,Erie,ER09,2004,Summer,Rotifers,Dawn/Dusk,non_pred,250067.0809,16023.52332
35,E009G05,Erie,ER09,2005,Summer,Bosminid,Day,non_pred,6890.7074,5230.63512
36,E009G05,Erie,ER09,2005,Summer,Calanoid,Day,non_pred,8912.460092,32093.87359
37,E009G05,Erie,ER09,2005,Summer,Cyclopoid,Day,non_pred,2296.902467,6089.87614
38,E009G05,Erie,ER09,2005,Summer,Daphnid,Day,non_pred,263.186741,1241.027625
39,E009G05,Erie,ER09,2005,Summer,Mollusc,Day,non_pred,15791.20446,5744.617443
40,E009G05,Erie,ER09,2005,Summer,nauplii,Day,non_pred,17024.89231,2557.846957
41,E009G05,Erie,ER09,2005,Summer,Other clad.,Day,non_pred,5120.178415,13703.11882
42,E009G05,Erie,ER09,2005,Summer,Pred. clad.,Day,pred,34.76756663,1426.870792
43,E009G05,Erie,ER09,2005,Summer,Rotifers,Day,non_pred,32240.37577,1031.947523
44,E009G06,Erie,ER09,2006,Summer,Bosminid,Day,non_pred,66.6455607,42.65982284
45,E009G06,Erie,ER09,2006,Summer,Calanoid,Day,non_pred,2550.474342,5217.350697
46,E009G06,Erie,ER09,2006,Summer,Cyclopoid,Day,non_pred,120.4746674,96.40340096
47,E009G06,Erie,ER09,2006,Summer,Daphnid,Day,non_pred,886.8986154,12447.58463
48,E009G06,Erie,ER09,2006,Summer,Mollusc,Day,non_pred,492.1518328,179.0378949
49,E009G06,Erie,ER09,2006,Summer,nauplii,Day,non_pred,6644.049743,1104.964992
50,E009G06,Erie,ER09,2006,Summer,Pred. clad.,Day,pred,32.04113495,2811.229931
51,E009G06,Erie,ER09,2006,Summer,Rotifers,Day,non_pred,170284.5342,7106.886086
52,E009G08,Erie,ER09,2008,Summer,Bosminid,Night,non_pred,94.18927357,87.31948097
53,E009G08,Erie,ER09,2008,Summer,Calanoid,Night,non_pred,7081.856007,21889.03102
54,E009G08,Erie,ER09,2008,Summer,Cyclopoid,Night,non_pred,3696.928988,9817.382282
55,E009G08,Erie,ER09,2008,Summer,Daphnid,Night,non_pred,306.1151391,4917.372308
56,E009G08,Erie,ER09,2008,Summer,Mollusc,Night,non_pred,30540.87196,11110.33843
57,E009G08,Erie,ER09,2008,Summer,nauplii,Night,non_pred,13361.63148,2386.288003
58,E009G08,Erie,ER09,2008,Summer,Pred. clad.,Night,pred,167.0387898,11450.95252
59,E009G08,Erie,ER09,2008,Summer,Rotifers,Night,non_pred,495334.767,13540.11316
60,E009G09,Erie,ER09,2009,Summer,Bosminid,Night,non_pred,337.7338339,350.8964187
61,E009G09,Erie,ER09,2009,Summer,Calanoid,Night,non_pred,3848.118835,8566.917096
62,E009G09,Erie,ER09,2009,Summer,Cyclopoid,Night,non_pred,1018.318681,860.0634472
63,E009G09,Erie,ER09,2009,Summer,Daphnid,Night,non_pred,10.2343586,293.757748
64,E009G09,Erie,ER09,2009,Summer,Mollusc,Night,non_pred,48265.23518,17558.21177
65,E009G09,Erie,ER09,2009,Summer,nauplii,Night,non_pred,11053.10729,1974.002753
66,E009G09,Erie,ER09,2009,Summer,Other clad.,Night,non_pred,5.117179302,10.5691811
67,E009G09,Erie,ER09,2009,Summer,Pred. clad.,Night,pred,30.70307581,4245.012256
68,E009G09,Erie,ER09,2009,Summer,Rotifers,Night,non_pred,143690.3948,3759.404979
